chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
,,463748,0,0,-1,1,0,1,0.5,0.5,0,Karl,0.0,655,False,,,39,463748.jpg,0.0,Hein,0.0,False,,a,1,3,0,2469,4,2039,3,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,561,53,543,34,509,24,564,53,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,740,73,434,44,570,53,641,67,0.0,0.0
,,519324,0,0,0,0,0,3,0.5,0.5,0,Amario,0.0,668,False,,,45,519324.jpg,0.0,Cozier-Duberry,0.0,False,,a,1,3,0,288,7,210,1,0.0,0.0,Cozier-Duberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,716,297,712,299,700,293,718,298,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,443,253,665,263,721,301,733,304,0.0,0.0
0.0,0.0,461025,0,0,0,0,0,4,0.0,0.0,0,Nathan,0.0,685,False,Season-long loan to Accrington Stanley,2023-01-31T23:21:06.874787Z,45,461025.jpg,0.0,Butler-Oyedeji,0.0,False,,u,1,3,0,735,0,692,1,0.0,0.0,Butler-Oyedeji,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,688,77,685,77,670,77,691,78,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,402,75,631,67,695,78,709,92,0.0,0.0
,,440854,0,0,0,0,0,2,2.0,2.0,1,Jakub,1.5,710,False,,,40,440854.jpg,2.2,Kiwior,0.1,False,,a,1,3,11,14731,967,1746,152,0.4,2.8,Kiwior,284,0,0,1,5,0,0,0,0,0,0,0,67,54.8,1.3,4.0,6.1,3,0.00,0.00,0.00,5.82,424,158,477,172,454,167,460,161,,,,,,,0.0,0.0,0.0,0.0,1.84,1.58,671,200,207,61,267,98,412,153,0.95,0.32
,,535262,0,0,0,0,0,2,0.5,0.5,0,Reuell,0.0,751,False,,,40,535262.jpg,0.0,Walters,0.0,False,,a,1,3,0,421,8,248,8,0.0,0.0,Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,622,234,608,233,579,228,626,234,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,707,226,502,196,632,235,685,246,0.0,0.0
75.0,100.0,84583,0,0,-4,4,0,3,-0.4,0.0,0,Philippe,0.0,29,False,Knock - 75% chance of playing,2023-05-13T17:30:09.051528Z,66,84583.jpg,1.6,Coutinho Correia,2.9,False,,d,2,7,32,233885,30,1483275,130,0.0,4.8,Coutinho,777,1,0,3,9,0,0,0,3,0,0,1,98,119.2,152.5,218.0,48.8,7,1.37,0.65,2.02,8.11,363,148,214,131,161,96,276,122,5.0,,4.0,,2.0,,0.16,0.0,0.08,0.24,0.94,1.04,48,25,757,328,395,172,114,40,0.81,0.35
100.0,100.0,98980,0,0,0,0,3,1,2.1,2.6,2,Emiliano,2.6,31,False,,2023-04-22T17:30:07.881117Z,50,98980.jpg,3.8,Martínez Romero,6.7,False,,a,2,7,130,1030988,1189,990904,5539,0.5,26.0,Martínez,2959,0,0,11,36,1,1,0,6,0,91,15,643,787.0,23.0,0.0,80.9,34,0.00,0.21,0.21,41.22,22,6,410,2,737,77,167,6,,,,,,,0.0,2.77,0.01,0.01,1.25,1.09,189,7,128,13,73,15,59,10,1.03,0.33
100.0,100.0,101184,0,0,-3,3,0,2,0.1,0.6,0,Calum,0.6,32,False,,2022-10-02T21:00:06.977430Z,42,101184.jpg,0.9,Chambers,0.2,False,,a,2,7,13,11171,27,27237,25,0.1,3.1,Chambers,345,0,0,0,4,0,0,0,2,0,0,0,67,74.4,29.8,8.0,11.1,2,0.14,0.19,0.33,5.88,403,153,394,139,441,161,437,156,,,,,,,0.04,0.0,0.05,0.09,1.53,1.04,586,158,314,102,524,179,376,142,0.52,0.0
100.0,100.0,101188,0,0,-5,5,1,2,0.3,0.8,0,Lucas,0.8,33,False,,2023-01-14T08:00:07.869716Z,45,101188.jpg,1.8,Digne,1.2,False,,a,2,7,48,349542,158,630965,301,0.2,10.7,Digne,1350,1,0,3,24,1,0,0,4,0,0,4,224,260.2,291.8,90.0,64.3,16,0.34,1.72,2.06,24.20,250,96,118,21,279,81,222,68,3.0,,2.0,,,,0.02,0.0,0.11,0.13,1.61,1.6,351,65,287,98,353,129,168,59,1.07,0.2
100.0,100.0,110504,0,0,-1,1,0,3,0.1,0.6,0,Bertrand,0.6,34,False,,2022-08-22T19:30:06.057056Z,49,110504.jpg,2.5,Traoré,0.1,False,,a,2,7,20,8557,15,23594,39,0.1,4.1,Traoré,226,2,0,1,1,0,0,0,1,0,0,1,57,82.0,30.7,79.0,19.0,1,0.75,0.12,0.87,1.65,400,172,393,200,299,150,408,180,,,,,,,0.3,0.0,0.05,0.35,0.66,0.4,229,130,318,152,231,86,481,179,0.4,0.4
